rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
172,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0
177,#9V00LLQ8,༺࿅ོALLEXCEED࿅ོ༻,154,4927,174,6,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
178,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0
198,#92Q2GVLJ,Dus10,160,4920,197,6,#LCLJYQJP,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
199,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0
203,#9CQQLY8L,キャティア,167,4918,221,3,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
204,0,0,0,0,0,0,0,0,0,0,0
205,#LQ2Y22JC,adbobo11,140,4918,252,9,#2VR2YY0G,Kings Rock,https://api-assets.clashofclans.com/badges/70/8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y.png,https://api-assets.clashofclans.com/badges/512/8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y.png,https://api-assets.clashofclans.com/badges/200/8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y.png
206,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
212,#GPURRPJU,零AKIRA戰,133,4916,264,11,#YULRL82J,JAPAN ALLSTAR！,https://api-assets.clashofclans.com/badges/70/JCrbAPK5RJTuqOTY9Dp3nWTT6_O2jh5IQ0ultAyoD8M.png,https://api-assets.clashofclans.com/badges/512/JCrbAPK5RJTuqOTY9Dp3nWTT6_O2jh5IQ0ultAyoD8M.png,https://api-assets.clashofclans.com/badges/200/JCrbAPK5RJTuqOTY9Dp3nWTT6_O2jh5IQ0ultAyoD8M.png
213,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0
231,#CRRQJUJL,HUNTER,177,4911,129,5,#LCLJYQJP,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
232,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0
